region,ists,year,city,country,applicants,grantees,funds_allocated,
,,,,,,,,
US/Canada,22,2002,Miami,USA,,13,3000.00,
Latin America,22,2002,Miami,USA,,30,17000.00,
Caribbean,22,2002,Miami,USA,,24,9000.00,
Africa,22,2002,Miami,USA,,24,28000.00,
Asia/Pac,22,2002,Miami,USA,,27,18000.00,
Europe,22,2002,Miami,USA,,34,7500.00,
,,,,,,,,
Africa,23,2003,Kuala Lumpur,Malaysia,9,9,9900.00,
Asia/Pac & MidEast,23,2003,Kuala Lumpur,Malaysia,52,44,22224.00,
Caribbean,23,2003,Kuala Lumpur,Malaysia,6,6,5505.00,
Europe,23,2003,Kuala Lumpur,Malaysia,20,22,13000.00,
Latin America,23,2003,Kuala Lumpur,Malaysia,35,20,29858.00,
US/Canada,23,2003,Kuala Lumpur,Malaysia,23,17,11050.00,
,,,,,,,,
US/Canada,24,2004,San Jose,Costa Rica,,41,10500.00,
Latin America,24,2004,San Jose,Costa Rica,,33,17000.00,
Caribbean,24,2004,San Jose,Costa Rica,,19,7100.00,
Africa,24,2004,San Jose,Costa Rica,,4,3650.00,
Asia/Pac,24,2004,San Jose,Costa Rica,,13,9000.00,
Europe,24,2004,San Jose,Costa Rica,,25,9750.00,
,,,,,,,,
Africa,25,2005,Savannah,USA,15,7,4500.00,
Asia/Pac & MidEast,25,2005,Savannah,USA,23,16,8000.00,
Caribbean,25,2005,Savannah,USA,18,13,4500.00,
Europe,25,2005,Savannah,USA,31,29,8000.00,
Latin America,25,2005,Savannah,USA,67,29,12950.00,
US/Canada,25,2005,Savannah,USA,43,37,9450.00,
,,,,,,,,
Africa,26,2006,Crete,Greece,26,,18800.08,
Asia/Pac & MidEast,26,2006,Crete,Greece,45,,8900.10,
Caribbean,26,2006,Crete,Greece,13,,2799.94,
Europe,26,2006,Crete,Greece,54,,12200.22,
Latin America,26,2006,Crete,Greece,54,,7099.92,
US/Canada,26,2006,Crete,Greece,44,,4000.04,
,,,,,,,,
Africa,27,2007,Myrtle Beach,USA,39,,,
Asia/Pac & MidEast,27,2007,Myrtle Beach,USA,24,,,
Caribbean,27,2007,Myrtle Beach,USA,15,,,
Europe,27,2007,Myrtle Beach,USA,5,,,
Latin America,27,2007,Myrtle Beach,USA,16,,,
South Asia,27,2007,Myrtle Beach,USA,69,,,
US/Canada,27,2007,Myrtle Beach,USA,33,,,
,,,,,,,,
Africa,28,2008,Loreto,Mexico,19,3,5200.00,
Asia/Pac & MidEast,28,2008,Loreto,Mexico,26,20,5500.00,
Caribbean,28,2008,Loreto,Mexico,9,6,2100.00,
Europe,28,2008,Loreto,Mexico,29,21,6500.00,
Latin America,28,2008,Loreto,Mexico,105,88,19200.00,
South Asia,28,2008,Loreto,Mexico,8,3,2700.00,
US/Canada,28,2008,Loreto,Mexico,55,55,9300.00,
,,,,,,,,
Africa,29,2009,Brisbane,Australia,20,,9200.00,
Asia/Pac & MidEast,29,2009,Brisbane,Australia,29,,12760.00,
Caribbean,29,2009,Brisbane,Australia,3,,1125.00,
Europe,29,2009,Brisbane,Australia,19,,6255.00,
Latin America,29,2009,Brisbane,Australia,46,,15410.00,
South Asia,29,2009,Brisbane,Australia,16,,7040.00,
US/Canada,29,2009,Brisbane,Australia,49,,14210.00,
,,,,,,,,
Africa,30,2010,Goa,India,25,25,7000.00,
Asia/Pac & MidEast,30,2010,Goa,India,42,42,8000.00,
Caribbean,30,2010,Goa,India,4,4,1000.00,
Europe,30,2010,Goa,India,34,34,6500.00,
Latin America,30,2010,Goa,India,70,70,14000.00,
South Asia,30,2010,Goa,India,120,120,18000.00,
US/Canada,30,2010,Goa,India,29,29,5500.00,
,,,,,,,,
US/Canada,31,2011,San Diego,USA,67,,17000.00,
Asia,31,2011,San Diego,USA,35,,6000.00,
MX/CA America,31,2011,San Diego,USA,56,,16000.00,
Caribbean,31,2011,San Diego,USA,24,,9000.00,
SoPacAsia,31,2011,San Diego,USA,32,,9000.00,
Europe,31,2011,San Diego,USA,30,,11000.00,
Middle East,31,2011,San Diego,USA,2,,1000.00,
Africa,31,2011,San Diego,USA,35,,12000.00,
So. America,31,2011,San Diego,USA,54,,19000.00,
,,,,,,,,
US/Canada,32,2012,Huatulco,Mexico,64,,20000.00,
South Asia,32,2012,Huatulco,Mexico,8,,6000.00,
Mx/Central America,32,2012,Huatulco,Mexico,65,,20000.00,
Southeast Asia/Pacific,32,2012,Huatulco,Mexico,21,,10000.00,
Europe,32,2012,Huatulco,Mexico,31,,11000.00,
Africa,32,2012,Huatulco,Mexico,27,,11000.00,
South America,32,2012,Huatulco,Mexico,49,,20000.00,
Caribbean,32,2012,Huatulco,Mexico,2,,800.00,
Middle East,32,2012,Huatulco,Mexico,2,,1200.00,
,,,,,,,,
US/Canada,33,2013,Baltimore,USA,67,,19400.00,
Asia,33,2013,Baltimore,USA,8,,5000.00,
MX/CA America,33,2013,Baltimore,USA,36,,14000.00,
Caribbean,33,2013,Baltimore,USA,14,,7500.00,
SoPacAsia,33,2013,Baltimore,USA,28,,10000.00,
Europe,33,2013,Baltimore,USA,26,,12500.00,
Middle East,33,2013,Baltimore,USA,2,,1600.00,
Africa,33,2013,Baltimore,USA,16,,10000.00,
So. America,33,2013,Baltimore,USA,54,,20000.00,
,,,,,,,,
Africa,34,2014,New Orleans,USA,27,12,2880.00,
US/Canada,34,2014,New Orleans,USA,86,24,4800.00,
Caribbean,34,2014,New Orleans,USA,5,8,2240.00,
South Asia,34,2014,New Orleans,USA,5,4,960.00,
Asia/Pacific,34,2014,New Orleans,USA,14,8,1920.00,
Middle East,34,2014,New Orleans,USA,1,0,0.00,
So. America,34,2014,New Orleans,USA,31,16,4480.00,
Europe,34,2014,New Orleans,USA,27,12,2400.00,
MX/CA America,34,2014,New Orleans,USA,41,20,5600.00,
,,,,,,,,
Africa,35,2015,Dalaman,Turkey,23,23,11025.00,
US/Canada,35,2015,Dalaman,Turkey,29,29,13545.00,
Caribbean,35,2015,Dalaman,Turkey,0,0,0.00,
South Asia,35,2015,Dalaman,Turkey,8,8,4095.00,
Asia/Pacific,35,2015,Dalaman,Turkey,13,13,6615.00,
Middle East,35,2015,Dalaman,Turkey,7,7,3150.00,
So. America,35,2015,Dalaman,Turkey,36,36,17325.00,
Europe,35,2015,Dalaman,Turkey,57,57,24885.00,
MX/CA America,35,2015,Dalaman,Turkey,28,28,14175.00,
,,,,,,,,
